"common.name","scientific.name","state","encounter.state.normalized"
"American coot","Fulica americana","Idaho",55.75645543
"American kestrel","Falco sparverius","Idaho",100
"American robin","Turdus migratorius","Idaho",72.07650353
"American wigeon","Mareca americana","Idaho",60.66470195
"bank swallow","Riparia riparia","Idaho",63.75312633
"belted kingfisher","Megaceryle alcyon","Idaho",50.01035674
"black-billed magpie","Pica hudsonia","Idaho",83.85025423
"black-headed grosbeak","Pheucticus melanocephalus","Idaho",57.82898616
"Brewer's blackbird","Euphagus cyanocephalus","Idaho",66.238265
"Bullock's oriole","Icterus bullockii","Idaho",72.90966702
"California quail","Callipepla californica","Idaho",100
"calliope hummingbird","Selasphorus calliope","Idaho",92.01797184
"Canada goose","Branta canadensis","Idaho",69.74989141
"Cassin's finch","Haemorhous cassinii","Idaho",78.77421191
"Cassin's vireo","Vireo cassinii","Idaho",100
"cedar waxwing","Bombycilla cedrorum","Idaho",64.66978914
"chukar","Alectoris chukar","Idaho",52.27403609
"cinnamon teal","Spatula cyanoptera","Idaho",50.0288472
"cliff swallow","Petrochelidon pyrrhonota","Idaho",62.71355382
"common goldeneye","Bucephala clangula","Idaho",73.44130165
"common merganser","Mergus merganser","Idaho",77.87708264
"common raven","Corvus corax","Idaho",56.20139034
"dark-eyed junco","Junco hyemalis","Idaho",70.30394531
"dusky flycatcher","Empidonax oberholseri","Idaho",88.66510464
"Eurasian collared-dove","Streptopelia decaocto","Idaho",68.98301646
"European starling","Sturnus vulgaris","Idaho",60.81732518
"evening grosbeak","Coccothraustes vespertinus","Idaho",53.82013562
"great horned owl","Bubo virginianus","Idaho",99.39786712
"Hammond's flycatcher","Empidonax hammondii","Idaho",100
"house finch","Haemorhous mexicanus","Idaho",60.00920978
"killdeer","Charadrius vociferus","Idaho",56.41970425
"lazuli bunting","Passerina amoena","Idaho",85.12329101
"Lewis's woodpecker","Melanerpes lewis","Idaho",71.6679497
"long-eared owl","Asio otus","Idaho",66.75940669
"MacGillivray's warbler","Geothlypis tolmiei","Idaho",76.69511
"mallard","Anas platyrhynchos","Idaho",87.65577335
"mountain chickadee","Poecile gambeli","Idaho",63.37514802
"northern flicker","Colaptes auratus","Idaho",86.56977265
"northern harrier","Circus cyaneus","Idaho",71.13980595
"northern pygmy-owl","Glaucidium gnoma","Idaho",69.37823695
"northern rough-winged swallow","Stelgidopteryx serripennis","Idaho",58.52182265
"northern saw-whet owl","Aegolius acadicus","Idaho",73.17100386
"olive-sided flycatcher","Contopus cooperi","Idaho",55.03477391
"pine siskin","Spinus pinus","Idaho",78.22397191
"prairie falcon","Falco mexicanus","Idaho",73.68943383
"red crossbill","Loxia curvirostra","Idaho",52.45629373
"red-breasted nuthatch","Sitta canadensis","Idaho",89.29945055
"red-tailed hawk","Buteo jamaicensis","Idaho",83.58497297
"red-winged blackbird","Agelaius phoeniceus","Idaho",65.22796192
"ring-necked duck","Aythya collaris","Idaho",87.38486285
"rock pigeon","Columba livia","Idaho",51.201978
"sage thrasher","Oreoscoptes montanus","Idaho",53.83167128
"sharp-shinned hawk","Accipiter striatus","Idaho",53.95896685
"song sparrow","Melospiza melodia","Idaho",58.15656787
"spotted sandpiper","Actitis macularius","Idaho",76.10001159
"Swainson's hawk","Buteo swainsoni","Idaho",95.49055945
"western grebe","Aechmophorus occidentalis","Idaho",67.58515544
"western kingbird","Tyrannus verticalis","Idaho",53.46190571
"western screech-owl","Megascops kennicottii","Idaho",83.04901931
"western tanager","Piranga ludoviciana","Idaho",98.95006348
"western wood-pewee","Contopus sordidulus","Idaho",67.01472802
"willow flycatcher","Empidonax traillii","Idaho",57.60302421
"yellow warbler","Setophaga petechia","Idaho",67.49039114
